GHO_DISPLAY,STARTYEAR,DIMENSION_TYPE,DIMENSION_NAME,Numeric
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1993,RESIDENCEAREATYPE,Total,35.0999984741211
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q5 (Richest),9.69999980926514
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,RESIDENCEAREATYPE,Urban,20.3999996185303
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q3,1.70000004768372
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q3,9.19999980926514
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q4,5.30000019073486
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,None and primary education,35.2999992370605
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2020,RESIDENCEAREATYPE,Total,1.60000002384186
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Secondary education,8.10000038146973
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2020,EDUCATIONLEVEL,Total,6.5
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1990,RESIDENCEAREATYPE,Total,33.0999984741211
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,EDUCATIONLEVEL,None,1.89999997615814
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2014,RESIDENCEAREATYPE,Total,7.90000009536743
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q2,3.40000009536743
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2021,WEALTHQUINTILE,Total,11.6000003814697
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Secondary or higher,2.70000004768372
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Total,6.80000019073486
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q4,10.8000001907349
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Secondary education,25.7999992370605
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Total,3
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Total,10.8000001907349
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q4,36.7000007629395
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Total,21.7999992370605
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,RESIDENCEAREATYPE,Rural,44.7999992370605
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2003,RESIDENCEAREATYPE,Urban,5.80000019073486
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2015,WEALTHQUINTILE,Total,1.60000002384186
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q3,6.40000009536743
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q3,1.39999997615814
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2020,WEALTHQUINTILE,Total,18.3999996185303
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2021,WEALTHQUINTILE,Q3,33
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Secondary or higher,5.09999990463257
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Higher education,12.1999998092651
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Secondary education,18.2000007629395
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2014,RESIDENCEAREATYPE,Total,1.79999995231628
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,WEALTHQUINTILE,Total,3
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,None,34.0999984741211
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Total,42.5
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2014,EDUCATIONLEVEL,Total,33.5999984741211
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1990,WEALTHQUINTILE,Total,48.7000007629395
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,RESIDENCEAREATYPE,Urban,5.30000019073486
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q5 (Richest),18.2999992370605
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Total,48.7000007629395
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,RESIDENCEAREATYPE,Urban,16.7999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2014,RESIDENCEAREATYPE,Total,20.6000003814697
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2021,RESIDENCEAREATYPE,Total,11.6000003814697
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2003,RESIDENCEAREATYPE,Rural,6.59999990463257
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2020,WEALTHQUINTILE,Total,6.5
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q5 (Richest),7.80000019073486
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2020,WEALTHQUINTILE,Total,1.60000002384186
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2014,WEALTHQUINTILE,Total,7.90000009536743
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q4,4.40000009536743
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2014,WEALTHQUINTILE,Total,1.79999995231628
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Secondary education,5.19999980926514
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q3,20.2000007629395
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,None,9.39999961853027
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Secondary or higher,23.2999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Total,21.7999992370605
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1993,EDUCATIONLEVEL,Total,5.5
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q2,49.4000015258789
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1993,EDUCATIONLEVEL,Total,43.7999992370605
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,RESIDENCEAREATYPE,Urban,32
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Primary,27
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Secondary education,1.70000004768372
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2020,EDUCATIONLEVEL,Total,31.5
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,RESIDENCEAREATYPE,Urban,30.6000003814697
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Secondary education,2.29999995231628
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q2,7.59999990463257
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1990,RESIDENCEAREATYPE,Urban,2.59999990463257
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1990,RESIDENCEAREATYPE,Rural,51.2999992370605
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,RESIDENCEAREATYPE,Rural,49.2999992370605
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,RESIDENCEAREATYPE,Urban,10.1000003814697
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Total,11.1999998092651
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q2,10.3999996185303
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1993,WEALTHQUINTILE,Total,5.5
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Primary,27.7999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Higher education,9.39999961853027
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q2,2.40000009536743
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q5 (Richest),6.69999980926514
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,None,12.6999998092651
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2018,RESIDENCEAREATYPE,Total,21.7999992370605
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,RESIDENCEAREATYPE,Rural,7.90000009536743
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2021,WEALTHQUINTILE,Q4,23.1000003814697
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q1 (Poorest),13.1999998092651
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q5 (Richest),8.69999980926514
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Secondary education,9.19999980926514
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Total,3.29999995231628
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q4,26.8999996185303
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Primary,10.5
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Secondary or higher,20.7999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Total,26.7000007629395
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q2,13.3000001907349
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,None and primary education,49.4000015258789
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,None,38.4000015258789
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Total,11.1999998092651
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2021,RESIDENCEAREATYPE,Urban,20.7999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2015,WEALTHQUINTILE,Total,19.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,EDUCATIONLEVEL,None and primary education,1.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Total,6.30000019073486
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,None and primary education,31
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q3,48.5999984741211
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q2,33.5
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q2,7.59999990463257
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2015,EDUCATIONLEVEL,Total,33
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2020,WEALTHQUINTILE,Total,31.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,RESIDENCEAREATYPE,Urban,3
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Secondary education,12.6999998092651
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q2,48.5
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Primary,18.8999996185303
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Secondary or higher,8.10000038146973
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1993,WEALTHQUINTILE,Total,35.0999984741211
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Primary,38.7999992370605
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,None,55.0999984741211
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1990,EDUCATIONLEVEL,None,3.59999990463257
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1990,RESIDENCEAREATYPE,Rural,12.3999996185303
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,None and primary education,31.2999992370605
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,EDUCATIONLEVEL,None and primary education,2
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Secondary education,12.1000003814697
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,Total,31.5
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,RESIDENCEAREATYPE,Rural,10.8999996185303
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,EDUCATIONLEVEL,None and primary education,10.3999996185303
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2021,EDUCATIONLEVEL,Total,33.7999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,RESIDENCEAREATYPE,Rural,35.2999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q5 (Richest),9.60000038146973
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2015,EDUCATIONLEVEL,Total,1.60000002384186
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,EDUCATIONLEVEL,None,1.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,WEALTHQUINTILE,Total,1.5
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2011,RESIDENCEAREATYPE,Rural,10.5
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2015,EDUCATIONLEVEL,Total,7.30000019073486
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,RESIDENCEAREATYPE,Rural,27.5
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1990,RESIDENCEAREATYPE,Urban,39.9000015258789
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q2,38.0999984741211
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q4,2.20000004768372
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,RESIDENCEAREATYPE,Rural,11.8000001907349
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,None,52.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Primary,2.90000009536743
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1993,RESIDENCEAREATYPE,Total,43.7999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Primary,24.3999996185303
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,RESIDENCEAREATYPE,Urban,2
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q3,6.69999980926514
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q3,10.3999996185303
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2011,RESIDENCEAREATYPE,Urban,9.69999980926514
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q4,24
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,None and primary education,12.3000001907349
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Secondary education,21.7000007629395
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q4,1.29999995231628
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,RESIDENCEAREATYPE,Urban,26.7999992370605
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q3,43.5
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,RESIDENCEAREATYPE,Total,35.7999992370605
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2003,EDUCATIONLEVEL,None and primary education,6.5
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2020,EDUCATIONLEVEL,Total,18.3999996185303
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q2,30.6000003814697
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,None and primary education,29.7000007629395
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Secondary education,7.19999980926514
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,RESIDENCEAREATYPE,Total,43.5999984741211
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Higher education,4.59999990463257
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2021,RESIDENCEAREATYPE,Total,33.7999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q4,23.8999996185303
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,None and primary education,11.5
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q1 (Poorest),54
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,RESIDENCEAREATYPE,Urban,1.10000002384186
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Total,10.1999998092651
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,RESIDENCEAREATYPE,Urban,23.3999996185303
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1993,EDUCATIONLEVEL,Total,35.0999984741211
